_TRI_FACILITY_EZ.TRI_FACILITY_ID,V_TRI_FACILITY_EZ.FACILITY_NAME,V_TRI_FACILITY_EZ.STREET_ADDRESS,V_TRI_FACILITY_EZ.CITY_NAME,V_TRI_FACILITY_EZ.COUNTY_NAME,V_TRI_FACILITY_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_FACILITY_EZ.STATE_ABBR,V_TRI_FACILITY_EZ.ZIP_CODE,V_TRI_FACILITY_EZ.REGION,V_TRI_FACILITY_EZ.FAC_CLOSED_IND,V_TRI_FACILITY_EZ.MAIL_NAME,V_TRI_FACILITY_EZ.MAIL_STREET_ADDRESS,V_TRI_FACILITY_EZ.MAIL_CITY,V_TRI_FACILITY_EZ.MAIL_STATE_ABBR,V_TRI_FACILITY_EZ.MAIL_COUNTRY,V_TRI_FACILITY_EZ.MAIL_ZIP_CODE,V_TRI_FACILITY_EZ.ASGN_AGENCY,V_TRI_FACILITY_EZ.ASGN_FEDERAL_IND,V_TRI_FACILITY_EZ.PARENT_CO_DB_NUM,V_TRI_FACILITY_EZ.PARENT_CO_NAME,V_TRI_FACILITY_EZ.STANDARDIZED_PARENT_COMPANY,V_TRI_FACILITY_EZ.ASGN_PARTIAL_IND,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FACILITY_EZ.REGISTRY_ID,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE_EXT,V_TRI_FACILITY_EZ.LATITUDE,V_TRI_FACILITY_EZ.LONGITUDE,V_TRI_FACILITY_EZ.REF_POINT_DESC,V_TRI_FACILITY_EZ.REF_POINT_CODE,V_TRI_FACILITY_EZ.COLLECT_DESC,V_TRI_FACILITY_EZ.COLLECT_MTH_CODE,V_TRI_FACILITY_EZ.ACCURACY_VALUE,V_TRI_FACILITY_EZ.ACCURACY_SCORE,V_TRI_FACILITY_EZ.HDATUM_DESC,V_TRI_FACILITY_EZ.SCALE,V_TRI_FACILITY_EZ.SOURCE_DESC,V_TRI_FACILITY_EZ.SOURCE_CODE,V_TRI_FACILITY_EZ.CONVEYOR,V_TRI_FACILITY_EZ.BIA_CODE,V_TRI_FACILITY_EZ.TRIBE
60609MNLYL4435S,WHEATLAND TUBE CO - CHICAGO DIV,4435 S WESTERN BLVD,CHICAGO,COOK,17031,IL,60609,5,0,WHEATLAND TUBE CO - CHICAGO DIV,4435 S WESTERN BLVD,CHICAGO,IL,,60609,,C,NA,ZEKELMAN INDUSTRIES INC,ZEKELMAN INDUSTRIES INC,0,ROBERT WERTH,7733468822,ROBERT.WERTH@ZEKELMAN.COM,1.1E+11,,41.810133,-87.681153,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60609MTLFN4025S,METAL FINISHING RESEARCH CORP,4025 S PRINCETON AVE,CHICAGO,COOK,17031,IL,60609,5,0,METAL FINISHING RESEARCH CORP,4025 S PRINCETON AVE,CHICAGO,IL,,60609,,C,828235445,DUBOIS CHEMICALS INC.,DUBOIS CHEMICALS INC,0,ROBIN LEVINE,5135544868,ROBIN.LEVINE@DUBOISCHEMICALS.COM,1.1E+11,,41.820839,-87.632839,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60630CNTNN4711W,IMPERIAL BONDWARE CORP,4711 W FOSTER AVE,CHICAGO,COOK,17031,IL,60630,5,0,IMPERIAL BONDWARE CORP,4711 W FOSTER AVE,CHICAGO,IL,,60630,,C,1270313,FEDERAL PAPER BOARD CO INC,,0,JOZEF MILEWSKI,2676859000,,1.10009E+11,,41.97536,-87.7463,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60623NRTHW3114S,NORTHWESTERN PLATING WORKS INC,3114 S KOLIN AVE,CHICAGO,COOK,17031,IL,60623,5,0,NORTHWESTERN PLATING WORKS INC,3114 S KOLIN AVE,CHICAGO,IL,,60623,,C,NA,No US Parent,,0,DAVID JACOBS,7732471600,,1.1E+11,,41.8361,-87.73282,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60618DSYNT3432W,DIOSYNTH INC,3432 W HENDERSON ST,CHICAGO,COOK,17031,IL,60618,5,0,DIOSYNTH INC,3432 W HENDERSON ST,CHICAGO,IL,,60618,,C,5204532,DIOSYNTH INC,,0,ROBERT BIELSCHOWSKY,3125833134,,1.10002E+11,,41.94223,-87.71426,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60620JVMXC9300S,JM OPERATING CO LLC,9300 S SANGAMON ST,CHICAGO,COOK,17031,IL,606202788,5,0,JM OPERATING CO LLC,9300 S SANGAMON ST,CHICAGO,IL,,60620-2788,,C,NA,No US Parent,,0,GERALD PARKER,7737799200,,1.10001E+11,,41.724457,-87.647822,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60623NVRSL4421W,UNIVERSAL EDIBLE OILS INC,4421 W 31ST ST,CHICAGO,COOK,17031,IL,606234811,5,0,UNIVERSAL EDIBLE OILS INC,4421 W 31ST ST,CHICAGO,IL,,60623-4811,,C,NA,No US Parent,,0,JOE LESNY,3125230214,,1.10001E+11,,41.8364,-87.734552,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,,82,FRS-GEOCODE,,
60628LQDCR12054,PRAXAIR DISTRIBUTION INC,12054 SW DOTY AVE,CHICAGO,COOK,17031,IL,60628,5,0,PRAXAIR DISTRIBUTION INC,12054 SW DOTY AVE,CHICAGO,IL,,60628,,C,91785391,CBI INDUTRIES INC,,0,BRIAN CURTIS,7085727423,,1.10002E+11,,41.67558,-87.60178,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60623CHCGS1846S,CHICAGO STEEL CONTAINER CORP,1846 S KILBOURN AVE,CHICAGO,COOK,17031,IL,60623,5,0,CHICAGO STEEL CONTAINER CORP,1846 S KILBOURN AVE,CHICAGO,IL,,60623,,C,,No US Parent,NA,0,DEANNA MACHAY,7732542406,DMACHAY@SCLWEB.COM,1.10001E+11,17,41.855126,-87.737691,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60608KRRXX2444W,KERR GROUP INC,2444 W 16TH ST,CHICAGO,COOK,17031,IL,60608,5,0,KERR GROUP INC.,9601 JOHN STREET,SANTA FE SPRINGS,CA,,90670,,C,NA,No US Parent,,0,J. POPLAWSKI,3122261700,,1.10002E+11,,41.8596,-87.6876,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,,FRS-TRIS,,
60616MRYMN2907S,MAUREY MANUFACTURING CORP,2907 S WABASH AVE,CHICAGO,COOK,17031,IL,60616,5,0,MAUREY MANUFACTURING CORP,2907 S WABASH AVE,CHICAGO,IL,,60616,,C,NA,No US Parent,,0,GEORGE WALKER,3123266550,,1.10002E+11,,41.84166,-87.6252,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60647SLCTR1750N,US ELECTRICAL MOTORS,1750 N SPRINGFIELD AVE,CHICAGO,COOK,17031,IL,606474622,5,0,EMERSON ELECTRIC CO.,910 HOMECREST ST.,KENNETT,MO,,63857,,C,6269633,EMERSON ELECTRIC CO,,0,RANDY WISEMAN,,,1.1001E+11,,41.91311,-87.72397,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60618FTFBR3758W,FOTOFAB LLC,3758 W BELMONT AVE,CHICAGO,COOK,17031,IL,60618,5,0,FOTOFAB LLC,3758 W BELMONT AVE,CHICAGO,IL,,60618,,C,NA,No US Parent,FOTOFAB LLC,0,CHARLES COHEN,7734636211,CCOHEN@FOTOFAB.COM,1.1E+11,,41.93941,-87.72198,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60627STFFR612E1,RHODIA INC,612 E 138TH ST,CHICAGO,COOK,17031,IL,60627,5,0,RHODIA INC.,1101 ARNOLD ST.,CHICAGO HEIGHTS,IL,,60411,,C,2959810,RHODIA INC,,0,,,,1.10001E+11,,41.64561,-87.60805,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60638WTCCR6200W,WITCO CORP,6200 W 51ST ST,CHICAGO,COOK,17031,IL,60638,5,0,WITCO CORP.,6200 W. 51ST ST.,CHICAGO,IL,,60638,,C,1374545,WITCO CORP,,0,WILLIAM J. MCCORMICK,7084580765,,1.10001E+11,,41.79977,-87.77725,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60623RTCND3101S,RTC INDUSTRIES,3101 S KEDZIE,CHICAGO,COOK,17031,IL,60623,5,0,RTC INDUSTRIES,3101 S KEDZIE,CHICAGO,IL,,60623,,C,NA,No US Parent,,0,BEN DEL TORO,8476405940,,1.10001E+11,,41.83664,-87.7048,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60609LCLCN4342S,CEDAR CONCEPTS CORP,4342 S WOLCOTT AVE,CHICAGO,COOK,17031,IL,60609,5,0,CEDAR CONCEPTS CORP,4342 S WOLCOTT AVE,CHICAGO,IL,,60609,,C,,No US Parent,NA,0,ERIC RADZIK,7738905790,ERIC@CEDARCONCEPTS.NET,1.1E+11,,41.81409,-87.67275,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60638LLGHN5950W,FASHION BED GROUP,5950 W 51ST ST,CHICAGO,COOK,17031,IL,60638,5,0,FASHION BED GROUP,5950 W 51ST ST,CHICAGO,IL,,60638,,C,7140064,LEGGETT & PLATT INC,,0,BURT STEWART,7084581800,,1.10001E+11,,41.79991,-87.77097,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60607GRDNL1550W,GUARDIAN ELECTRIC MFG CO,1550 W CARROLL AVE,CHICAGO,COOK,17031,IL,60607,5,1,GUARDIAN ELECTRIC MFG CO,1550 W CARROLL AVE,CHICAGO,IL,,60607,,C,NA,No US Parent,,0,ED LORGE,8153370050,,1.10018E+11,,41.88739,-87.66652,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60613RMRCX1810W,E R MOORE CO,1810 W GRACE ST,CHICAGO,COOK,17031,IL,606132724,5,0,E R MOORE CO,1810 W GRACE ST,CHICAGO,IL,,60613-2724,,C,NA,No US Parent,,0,UNDRA PILLOWS,7735494696,,1.1E+11,,41.950814,-87.674594,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60622MDWST1001W,MIDWEST ZINC CORP CHICAGO FACILITY,1001 W WEED ST,CHICAGO,COOK,17031,IL,60622,5,0,MIDWEST ZINC CORP. CHICAGO FACILITY,3380 FITE RD.,MILLINGTON,TN,,38503,,C,602742850,US ZINC CORP,,0,MICHAEL BAIRD,9013576800,,1.1E+11,,41.9098,-87.65312,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60639PLTNG2734N,PLATING SERVICE CO,2734 N PULASKI RD,CHICAGO,COOK,17031,IL,606392183,5,0,PLATING SERVICE CO,2734 N PULASKI RD,CHICAGO,IL,,60639-2183,,C,NA,No US Parent,,0,WILLIAM BENSON,3122273922,,1.10002E+11,,41.93107,-87.72695,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60624SPCFD320NH,SPECIFIED PLATING CO,320 N HARDING AVE,CHICAGO,COOK,17031,IL,60624,5,0,SPECIFIED PLATING CO,PO BOX 123,DES PLAINES,IL,,60016,,C,,No US Parent,NA,0,JOHN KOPECKY,7738264501,SPECIFIED87@ATT.NET,1.10055E+11,,41.885719,-87.724991,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60607NBRTP340NO,NOBERT PLATING PLANT 1,340 N ASHLAND AVENUE,CHICAGO,COOK,17031,IL,60607,5,0,NOBERT PLATING PLANT 1,340 N ASHLAND AVENUE,CHICAGO,IL,,60607,,C,NA,NOBERT PLATING CO,NOBERT PLATING CO,0,JAMIE SICKLES,3124214040,JSICKLES@NOBERTPLATING.COM,1.1E+11,,41.887629,-87.667374,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,99999999,NAD83,,,,FRS-TRIS,,
60635JFFRS2248N,JEFFERSON ICE CO,2248 N NATCHEZ,CHICAGO,COOK,17031,IL,60635,5,0,JEFFERSON ICE CO,2248 N NATCHEZ,CHICAGO,IL,,60635,,C,NA,No US Parent,,0,ROBERT J RUSTMAN,3126229400,,1.10002E+11,,41.92156,-87.78784,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60612NTNLN2819W,NATIONAL INTERCHEM CORP,2819 W LAKE ST,CHICAGO,COOK,17031,IL,60612,5,0,NATIONAL INTERCHEM CORP,2819 W LAKE ST,CHICAGO,IL,,60612,,C,NA,No US Parent,,0,PAT JACKSON,7736385100,,1.10001E+11,,41.88429,-87.69716,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60607RLBLP1538W,RELIABLE PLATING,1538 W. LAKE ST.,CHICAGO,COOK,17031,IL,60607,5,0,RELIABLE PLATING,1538 W LAKE ST,CHICAGO,IL,,60607,,C,,No US Parent,NA,0,COULT GREENWELL,3124214747,COULT@RELIABLEPLATING.COM,1.1E+11,,41.885676,-87.66606,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60647JNSNP1842N,JENSEN PLATING WORKS INC,1842 N. WESTERN AVE.,CHICAGO,COOK,17031,IL,60647,5,0,JENSEN PLATING WORKS INC,1842 N. WESTERN AVE.,CHICAGO,IL,,60647,,C,,No US Parent,NA,0,TOM JENSEN,7732527733,JPWI@ICLOUD.COM,1.10002E+11,,41.91519,-87.6877,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60612MCCRM2549W,MCCORMICK FLAVOR GROUP,2549 W MADISON ST,CHICAGO,COOK,17031,IL,60612,5,0,MCCORMICK FLAVOR GROUP,2549 W MADISON ST,CHICAGO,IL,,60612,,C,NA,MCCORMICK & CO INC,,0,MAC BARRETT,3017717310,,1.10002E+11,,41.88113,-87.69042,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60610NTYMF1260N,UNITY MANUFACTURING CO,1260 N CLYBOURN AVE,CHICAGO,COOK,17031,IL,60610,5,0,UNITY MANUFACTURING CO,1260 N CLYBOURN AVE,CHICAGO,IL,,60610,,C,,No US Parent,NA,0,MICHELLE MISIK,3129435200,MICHELLE.MISIK@UNITYUSA.COM,1.10001E+11,,41.90492,-87.64198,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60609JRNBR328W4,JERNBERG INDUSTRIES INC,328 W 40TH PL,CHICAGO,COOK,17031,IL,60609,5,0,JERNBERG INDUSTRIES INC,328 W 40TH PL,CHICAGO,IL,,60609,,C,605039366,JERNBERG INDUSTRIES LLC,JERNBERG INDUSTRIES LLC,0,PAT SAUTTER,7733264802,PAT.SAUTTER@AAM.COM,1.1E+11,,41.820388,-87.634506,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,5,5,NAD83,1000,,17,EIS,,
60639TNBRN4600W,AETNA BEARING CO,4600 W SCHUBERT AVE,CHICAGO,COOK,17031,IL,606391891,5,0,AETNA BEARING CO,4600 W SCHUBERT AVE,CHICAGO,IL,,60639-1891,,C,NA,No US Parent,,0,DAVID S CROOK,7732272410,,1.10001E+11,,41.92957,-87.74205,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60618PRCSN2419W,PRECISION FORMING & STAMPING C O,2419 W GEORGE ST,CHICAGO,COOK,17031,IL,60618,5,0,PRECISION FORMING & STAMPING C O,2419 W GEORGE ST,CHICAGO,IL,,60618,,C,NA,No US Parent,NA,0,BRIAN HILL,7734896868,EMAIL@PRECISIONFORMING.COM,1.1E+11,,41.93398,-87.68881,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60622CLCPL414NW,CALCO PLATING INC,414 N WOOD ST,CHICAGO,COOK,17031,IL,606226260,5,0,CALCO PLATING INC,414 N WOOD ST,CHICAGO,IL,,60622-6260,,C,NA,No US Parent,,0,RONALD HILLSTRAND,3123376201,,1.10001E+11,,41.88918,-87.67231,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60643NGRSL1000W,INGERSOLL PRODUCTS CO,1000 W 120TH ST,CHICAGO,COOK,17031,IL,60643,5,0,INGERSOLL PRODUCTS CO,1000 W 120TH ST,CHICAGO,IL,,60643,,C,NA,INGERSOLL HOLDING CO,,0,MIKE MESTOUSIS,7732647800,,1.1E+11,189,41.67594,-87.64649,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,,82,FRS-GEOCODE,,
60609TTSNS4545S,OSI INDUSTRIES INC OTTO & SONS DIV,4545 S RACINE AVE,CHICAGO,COOK,17031,IL,606092112,5,0,OSI INDUSTRIES INC OTTO & SONS DIV,4545 S RACINE AVE,CHICAGO,IL,,60609-2112,,C,NA,No US Parent,,0,DAVID OHLWEIN,6308516600,,1.10001E+11,,41.812099,-87.653461,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60639KCGLC1949N,EKCO & GLACO INC,4730 WEST COURTLAND DOCK # 3,CHICAGO,COOK,17031,IL,60639,5,0,EKCO & GLACO INC,4730 WEST COURTLAND DOCK # 3,CHICAGO,IL,,60639,,C,NA,No US Parent,,0,MYRON N HODGE,9017847140,,1.10002E+11,,41.915167,-87.743229,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,,82,FRS-GEOCODE,,
60617CMSTL11236,ACME STEEL CO CHICAGO COKE PLANT,11236 S TORRENCE AVE,CHICAGO,COOK,17031,IL,606176440,5,0,ACME STEEL CO. RIVERDALE PLANT,13500 S. PERRY AVE.,RIVERDALE,IL,,60827-1182,,C,791200652,ACME METALS INC,,0,D.J. HOLMBERG,7088492500,,1.1E+11,,41.69017,-87.55945,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60623MGMCP2324S,FREEPORT-MCMORAN CHICAGO ROD INC.,2324 S KENNETH AVE,CHICAGO,COOK,17031,IL,60623,5,1,FREEPORT-MCMORAN CHICAGO ROD INC.,2324 S KENNETH AVE,CHICAGO,IL,,60623,,C,187122973,FREEPORT-MCMORAN COPPER & GOLD,,0,RICHARD PETERSON,5755374324,RICHARD_PETERSON@FMI.COM,1.10028E+11,,41.848383,-87.736565,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60639JLMTL5841W,JLO METAL PRODUCTS INC,5841 W DICKENS AVE,CHICAGO,COOK,17031,IL,60639,5,0,JLO METAL PRODUCTS INC,5841 W DICKENS AVE,CHICAGO,IL,,60639,,C,NA,No US Parent,,0,JAY W. OBERRIEDER,7738896242,,1.10001E+11,,41.917298,-87.772134,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60632BRDSH3248W,BRADSHAW-PRAEGER & CO,3248 W 47TH PL,CHICAGO,COOK,17031,IL,60632,5,0,BRADSHAW-PRAEGER & CO,3248 W 47TH PL,CHICAGO,IL,,60632,,C,1212695,RPM INC,,0,JOHN M. SAMBORSKI,3125232050,,1.10002E+11,,41.806799,-87.705314,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60612GLGRN2519W,EAGLE GRINDING WHEEL CORP,2519 WEST FULTON,CHICAGO,COOK,17031,IL,60612,5,0,EAGLE GRINDING WHEEL CORP,2519 WEST FULTON,CHICAGO,IL,,60612,,C,NA,No US Parent,,0,HOWARD BOWERBOX,3127331770,,1.10001E+11,,41.88688,-87.68916,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,10,99999999,NAD83,,,17,FRS-TRIS,,
60638NLCCH6216W,NALCO CO,6216 W 66TH PL,CHICAGO,COOK,17031,IL,60638,5,0,NALCO CO,6216 W 66TH PL,CHICAGO,IL,,60638,,C,6154611,ECOLAB INC,ECOLAB INC,0,KEITH SCHUTT,7084965100,KSCHUTT@ECOLAB.COM,1.10001E+11,,41.77173,-87.77625,ENTRANCE POINT OF A FACILITY OR STATION,101,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60623PSCBV1821S,VITALITY FOODSERVICE INC,1821 S KILBOURN AVE,CHICAGO,COOK,17031,IL,60607,5,0,VITALITY FOODSERVICE INC,1821 S KILBOURN AVE,CHICAGO,IL,,60607,,C,NA,No US Parent,,0,SEAN FRIELICH,8133014681,,1.10009E+11,,41.85605,-87.73707,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60609MRCNN1101W,ARDAGH METAL BEVERAGE USA INC RE : CHICAGO PLANT,1101 W 43RD ST,CHICAGO,COOK,17031,IL,60609,5,0,ARDAGH METAL BEVERAGE USA INC RE : CHICAGO PLANT,8770 W BRYN MAWR AVENUE,CHICAGO,IL,,60631,,C,80376954,ARDAGH HOLDINGS USA INC,ARDAGH HOLDINGS USA INC,0,JOSHUA MARKUS,7733993509,JOSHUA.MARKUS@ARDAGHGROUP.COM,1.1E+11,,41.814353,-87.654132,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60624CRSTR555NT,CARAUSTAR INDUSTRIES INC,555 N TRIPP AVE,CHICAGO,COOK,17031,IL,60624,5,0,CARAUSTAR INDUSTRIES INC,555 N TRIPP AVE,CHICAGO,IL,,60624,,C,39497029,CARAUSTAR INDUSTRIES INC AUSTELL GA,,0,PATRICK MITSUUCHI-STORK,7733087611,PATRICK.MITSUUCHI-STORK@CARAUSTAR.COM,1.10039E+11,,41.89096,-87.73226,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60608DRCNT1600S,LAKESIDE LITHOGRAPHY LLC,1600 S LAFLIN ST,CHICAGO,COOK,17031,IL,60608,5,0,LAKESIDE LITHOGRAPHY LLC,1600 S LAFLIN ST,CHICAGO,IL,,60608,,C,,No US Parent,NA,0,LEE NADLER,3122433001,LEE@LAKESIDELITHO.COM,1.1E+11,,41.85941,-87.66467,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60633LFRGN2150E,LAFARGE NA INC,2150 E 130TH ST,CHICAGO,COOK,17031,IL,60633,5,0,LAFARGE NA INC,2150 E 130TH ST,CHICAGO,IL,,60633,,C,608963674,HOLCIM (US) INC,HOLCIM (US) INC,0,MICHAEL HENDRIX,7732515099,MICHAEL.HENDRIX@LAFARGEHOLCIM.COM,1.10001E+11,,41.66,-87.57065,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60614HRWNL2015N,HORWEEN LEATHER CO,2015 N ELSTON,CHICAGO,COOK,17031,IL,60614,5,0,HORWEEN LEATHER CO,2015 N ELSTON,CHICAGO,IL,,60614,,C,,No US Parent,NA,0,ROBERT PAUL,7737722026,RPAUL@HORWEEN.COM,1.1E+11,,41.918727,-87.667429,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60612RSDRC317NF,RESIDUE RECYCLING RESOURCES INC,317 N FRANCISCO,CHICAGO,COOK,17031,IL,60612,5,0,RESIDUE RECYCLING RESOURCES INC,PO BOX 710,CHICAGO HEIGHTS,IL,,60411,,C,57896847,METAL MARK INC,,0,JAMES J DILLON,7087588700,,1.10002E+11,,41.88729,-87.69891,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60628NCMST429W1,NACME STEEL PROCESSING LLC,429 W 127TH ST,CHICAGO,COOK,17031,IL,60628,5,0,NACME STEEL PROCESSING LLC,429 W 127TH ST,CHICAGO,IL,,60628,,C,183295195,NATIONAL MATERIALS LP,NATIONAL MATERIALS LP,0,SCOTT MCDONALD,2193915088,SMCDONALD@NMLP.COM,1.1E+11,,41.66138,-87.63264,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60622THPRC1232W,PROCTER & GAMBLE MFG CO,1232 W NORTH AVE,CHICAGO,COOK,17031,IL,606221510,5,0,PROCTER & GAMBLE MFG CO,1232 W NORTH AVE,CHICAGO,IL,,60622-1510,,C,1316827,PROCTER & GAMBLE CO,,0,MARVIN F. WREN PE,3127389536,,1.10001E+11,,41.91076,-87.65882,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60647BBTTD2403N,AABBITT ADHESIVES INC,2403 N OAKLEY AVE,CHICAGO,COOK,17031,IL,60647,5,0,AABBITT ADHESIVES INC,2403 N OAKLEY AVE,CHICAGO,IL,,60647,,C,NA,No US Parent,,0,BENJAMIN B SARMAS,3122272700,,1.10001E+11,,41.92534,-87.6852,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
